date,close,high,low,open,volume,tic,day
2022-06-13,667.3734130859375,681.2446800343107,661.6502743788106,681.1961909005809,16622521,ICICIBANK.NS,0
2022-06-13,1264.9520263671875,1281.9127514082513,1253.5856187134593,1281.9127514082513,6987685,INFY.NS,0
2022-06-13,218.5906982421875,222.26621379010152,217.2278522224148,220.03613305797234,11519902,ITC.NS,0
2022-06-13,1456.061279296875,1488.2797666840436,1442.9932711037707,1482.7675128374617,2460367,LT.NS,0
2022-06-13,1206.0750732421875,1210.558959942895,1184.9691305419672,1200.2325310142617,17620803,RELIANCE.NS,0
2022-06-13,414.2048645019531,421.82283525019136,410.72102863648564,421.77639544593,13426836,SBIN.NS,0
2022-06-13,2841.556640625,2906.337971721971,2817.5944475896667,2903.6902298710247,3030921,TCS.NS,0
2022-06-14,648.044189453125,652.9736195698958,640.4259737470816,642.3180978828515,5391833,AXISBANK.NS,1
2022-06-14,621.020751953125,627.6474977818931,617.707379038741,620.6657477122982,11870356,HDFCBANK.NS,1
2022-06-14,2002.8941650390625,2042.5183965410713,1992.745921918183,2021.207221128956,1592475,HINDUNILVR.NS,1
2022-06-14,664.9484252929688,673.8241281748404,660.243853989426,661.9413882626029,13348598,ICICIBANK.NS,1
2022-06-14,1279.204345703125,1286.6191002718645,1245.9932304081092,1252.0759892436106,6090247,INFY.NS,1
2022-06-14,219.25149536132812,220.90341551485864,217.26919379480339,217.39307700825677,7708043,ITC.NS,1
2022-06-14,1468.0362548828125,1477.2076435316567,1449.550894297337,1456.0612309754965,1983405,LT.NS,1
2022-06-14,1190.3135986328125,1210.1288135182253,1183.6783373201108,1200.2552293704455,14714312,RELIANCE.NS,1
2022-06-14,416.295166015625,417.3635366773815,411.88230725275895,413.41518936323826,11351101,SBIN.NS,1
2022-06-14,2833.569091796875,2858.5901216693624,2801.9284921763433,2815.4320179906135,2611493,TCS.NS,1
2022-06-15,647.795166015625,653.6208169085992,644.5088998508353,651.2806127197829,4638336,AXISBANK.NS,2
2022-06-15,618.8670654296875,622.819492387173,614.5833820581435,616.1217338404382,11810470,HDFCBANK.NS,2
2022-06-15,1997.8221435546875,2009.3163133909054,1983.3495101776343,2009.1302162258196,1432377,HINDUNILVR.NS,2
2022-06-15,666.6459350585938,675.4730892724864,665.530388895112,666.8884399458468,9199591,ICICIBANK.NS,2
2022-06-15,1262.9095458984375,1284.3991426909397,1259.934777025382,1278.8934951366866,4651958,INFY.NS,2
2022-06-15,217.5582733154297,220.77951161409447,217.26918631686965,219.70577860309837,5254329,ITC.NS,2
2022-06-15,1482.9573974609375,1489.2775839911592,1462.7139364136729,1471.1724080539136,1461683,LT.NS,2
2022-06-15,1175.91064453125,1194.4802922065517,1170.520948203621,1185.535162159316,11195535,RELIANCE.NS,2
2022-06-15,419.31451416015625,423.12351392552915,416.7597010476115,417.08486475042326,9920926,SBIN.NS,2
2022-06-15,2829.818359375,2854.265800096779,2825.1406388713017,2840.585800127237,1404536,TCS.NS,2
2022-06-16,632.2601318359375,655.4632390768826,628.4261035353835,654.7661374966569,5960283,AXISBANK.NS,3
2022-06-16,606.4892578125,625.0678127660508,604.9272160672077,620.0740634178733,12169192,HDFCBANK.NS,3
2022-06-16,1997.9615478515625,2014.0629281658814,1987.1188323121448,1996.3793811995452,1353485,HINDUNILVR.NS,3
2022-06-16,658.1583251953125,679.0622365789525,656.0242701480186,679.0137474380526,13237239,ICICIBANK.NS,3
2022-06-16,1240.709716796875,1282.0460322254453,1236.092174446975,1276.9400480278375,6641772,INFY.NS,3
2022-06-16,215.32815551757812,221.27508589641178,214.33701136157097,220.53170814656917,14843837,ITC.NS,3
2022-06-16,1451.6419677734375,1496.881015253514,1441.5201777052491,1490.6083942022592,2329325,LT.NS,3
2022-06-16,1159.4697265625,1204.3312302745605,1156.7521762440374,1188.0035257051024,17111475,RELIANCE.NS,3
2022-06-16,410.25653076171875,425.26024538178035,408.9094361752225,422.84478009816445,10780703,SBIN.NS,3
2022-06-16,2773.06787109375,2863.841359747283,2765.168818884143,2859.5607582252546,2032028,TCS.NS,3
2022-06-17,632.5587768554688,638.1354670931676,623.9945001844881,627.3803869025398,6849201,AXISBANK.NS,4
2022-06-17,610.489013671875,614.867399697434,601.8978987250547,603.5072629824699,14723922,HDFCBANK.NS,4
2022-06-17,1964.2232666015625,2010.712336954986,1954.4973608935168,2010.3401426333317,3252189,HINDUNILVR.NS,4
2022-06-17,666.2578735351562,671.8840340301465,649.8645794187131,651.1255929345484,16335613,ICICIBANK.NS,4
2022-06-17,1231.91845703125,1240.487542584052,1214.0252932515164,1235.2484462558373,9692047,INFY.NS,4
2022-06-17,217.47567749023438,218.17774780469682,213.552355698647,213.92404460226564,17296080,ITC.NS,4
2022-06-17,1416.04931640625,1454.0653401067104,1407.923460949695,1446.5097018025228,4548572,LT.NS,4
2022-06-17,1173.0572509765625,1188.8414216894157,1157.7034029954712,1159.4697388409886,24457187,RELIANCE.NS,4
2022-06-17,409.6990966796875,415.78418530109855,406.2152608235677,408.77007378472223,14326050,SBIN.NS,4
2022-06-17,2726.202880859375,2752.547995559484,2668.7911904372145,2728.938966659696,5240434,TCS.NS,4
2022-06-20,625.6875,634.5007379372021,619.612888272196,632.6086138743802,5305222,AXISBANK.NS,0
2022-06-20,625.8251953125,627.1741999600592,612.5717027850421,617.5653947653956,15936840,HDFCBANK.NS,0
2022-06-20,2043.75244140625,2050.267431945925,1962.0823814267471,1964.7350041792643,2022000,HINDUNILVR.NS,0
2022-06-20,665.3849487304688,667.1794612875005,657.2852496413942,665.4334378688459,10981042,ICICIBANK.NS,0
2022-06-20,1255.7613525390625,1263.0428867444693,1227.2122188224364,1234.360640156729,4595194,INFY.NS,0
2022-06-20,218.1364288330078,219.82965627786217,215.86502744001368,217.4756529971805,17738981,ITC.NS,0
2022-06-20,1398.799560546875,1423.557424993285,1384.1158026010885,1416.0968039607908,1837431,LT.NS,0
2022-06-20,1151.7928466796875,1185.3314250139977,1141.8512172581657,1179.8510396489687,12066797,RELIANCE.NS,0
2022-06-20,403.84625244140625,411.97520254407925,400.1301609658986,410.16359660915805,12368534,SBIN.NS,0
2022-06-20,2746.943603515625,2770.199687078133,2708.6396940319523,2730.704207668576,1502769,TCS.NS,0
2022-06-21,633.8533935546875,642.6665703936861,625.5381376847027,629.3721048335624,10333886,AXISBANK.NS,1
2022-06-21,632.6412353515625,640.9009774209887,626.7244981154012,632.8068924380476,13220684,HDFCBANK.NS,1
2022-06-21,2052.22216796875,2077.351419005102,2021.6481549845803,2042.9150379552864,1606187,HINDUNILVR.NS,1
2022-06-21,675.2305908203125,686.7738472456844,667.9554441333879,669.8469941130473,13319648,ICICIBANK.NS,1
2022-06-21,1287.5069580078125,1292.9237183901334,1263.397816167282,1264.5078124914492,6270787,INFY.NS,1
2022-06-21,222.92701721191406,223.71167626793147,218.13643480874302,218.87979946406426,14417711,ITC.NS,1
2022-06-21,1425.885986328125,1440.0468616585001,1403.6465903367634,1406.5928088277915,1458922,LT.NS,1
2022-06-21,1170.38525390625,1174.5973137201734,1145.112415821389,1159.4698864092793,11720049,RELIANCE.NS,1
2022-06-21,418.75701904296875,422.6589260685051,406.54037512832645,408.3055127440594,13801891,SBIN.NS,1
2022-06-21,2834.80419921875,2857.574817649879,2758.416819094399,2762.4767753051106,2964461,TCS.NS,1
2022-06-22,624.1937255859375,631.0152794503146,618.6668148888781,629.9198168303818,5899024,AXISBANK.NS,2
2022-06-22,629.6591796875,632.8305277490141,626.3221167580701,630.6058576498191,8159698,HDFCBANK.NS,2
2022-06-22,2050.221435546875,2070.7434775451175,2034.5854100804563,2037.517065444526,1741378,HINDUNILVR.NS,2
2022-06-22,666.015380859375,677.9466683573997,664.5603515747664,673.4360538929959,6838249,ICICIBANK.NS,2
2022-06-22,1276.2738037109375,1296.1205167768,1274.2758102801847,1275.2082505737685,6253366,INFY.NS,2
2022-06-22,219.1276092529297,223.25742946171027,218.7972278245664,220.5317368677536,11756920,ITC.NS,2
2022-06-22,1405.40478515625,1416.9996252276792,1395.1879794484362,1416.0967911295436,1906619,LT.NS,2
2022-06-22,1134.831298828125,1158.7000801408756,1132.7478510128988,1158.6095110793892,10617206,RELIANCE.NS,2
2022-06-22,415.8771057128906,419.17515409968314,413.0900369445457,416.8990365982563,11066447,SBIN.NS,2
2022-06-22,2844.51318359375,2868.87249504478,2809.254130703088,2824.1696570831255,3336315,TCS.NS,2
2022-06-23,626.733154296875,638.1853375875851,615.679332128826,624.7913109726796,8450777,AXISBANK.NS,3
2022-06-23,631.9786376953125,638.0610328694298,624.0975310373467,629.777599579211,15372244,HDFCBANK.NS,3
2022-06-23,2096.524169921875,2100.9450566196474,2040.216034087092,2055.014279722326,1585753,HINDUNILVR.NS,3
2022-06-23,678.1891479492188,684.8337577523769,666.4033875012506,669.5074617003932,14960412,ICICIBANK.NS,3
2022-06-23,1289.771240234375,1294.6996671000559,1272.4997413953224,1278.5381645462396,6254281,INFY.NS,3
2022-06-23,219.2927703857422,220.73821838910845,216.73229502848073,219.2927703857422,9416459,ITC.NS,3
2022-06-23,1420.1834716796875,1436.7679135093917,1408.0182992321243,1408.0182992321243,1828491,LT.NS,3
2022-06-23,1116.4200439453125,1143.6178348788872,1107.3843432520748,1139.111305663959,19446323,RELIANCE.NS,3
2022-06-23,419.3609313964844,424.05251405247765,414.3442134067089,417.13128210675404,12229833,SBIN.NS,3
2022-06-23,2920.283447265625,2928.403147678587,2844.513798017561,2844.513798017561,3692578,TCS.NS,3
2022-06-24,631.36376953125,639.7786458082473,629.0235653605183,631.7122898864258,6918584,AXISBANK.NS,4
2022-06-24,640.8063354492188,644.5220348931247,633.5879159905552,633.5879159905552,8013432,HDFCBANK.NS,4
2022-06-24,2144.269775390625,2158.1375366257535,2103.4581431434044,2108.065127447155,1930048,HINDUNILVR.NS,4
2022-06-24,692.0604248046875,693.8064480653665,685.3672665659108,689.5868869182846,10856736,ICICIBANK.NS,4
2022-06-24,1279.6925048828125,1303.1356482758742,1268.8589844199196,1294.699676447172,6114340,INFY.NS,4
2022-06-24,219.58184814453125,221.646764427913,219.0449816905538,219.7883463171482,7283228,ITC.NS,4
2022-06-24,1420.706298828125,1437.0056921505648,1415.1464785794915,1427.2640861025866,1731440,LT.NS,4
2022-06-24,1132.3175048828125,1137.2768791745684,1117.8014186070498,1123.2365200121847,14240234,RELIANCE.NS,4
2022-06-24,422.0086669921875,427.67571254945517,421.0332042538962,423.44864119662316,10833364,SBIN.NS,4
2022-06-24,2906.42626953125,2952.232116631172,2892.6579259368214,2946.9366330138964,2132118,TCS.NS,4
2022-06-27,634.4508666992188,644.2101661984539,632.0608825458006,641.3222003007019,4552114,AXISBANK.NS,0
2022-06-27,641.966064453125,651.3145103686636,639.9543735599078,648.4744761664746,9804164,HDFCBANK.NS,0
2022-06-27,2159.859130859375,2170.2832987136817,2138.8251524369907,2155.3918900359454,1450391,HINDUNILVR.NS,0
2022-06-27,695.8434448242188,706.9986687565013,694.6309204837532,706.9986687565013,8285225,ICICIBANK.NS,0
2022-06-27,1309.4404296875,1317.7876236462766,1301.0489009150212,1303.6241140424631,4511097,INFY.NS,0
2022-06-27,222.9683074951172,223.54648148235842,220.1187450498274,220.5317152505209,8487729,ITC.NS,0
2022-06-27,1459.6253662109375,1468.0838391922673,1434.867382846125,1448.4105921228645,2389778,LT.NS,0
2022-06-27,1128.9658203125,1152.6534598644344,1123.9383995696694,1152.6534598644344,15474529,RELIANCE.NS,0
2022-06-27,428.4653625488281,431.85629038223016,425.5389178027619,427.30408395166796,9509175,SBIN.NS,0
2022-06-27,2925.489990234375,2968.0303337828927,2918.2528721159615,2956.645129771199,2037686,TCS.NS,0
2022-06-28,639.6790771484375,642.0193422907768,629.3721368776262,631.363820855087,10711123,AXISBANK.NS,1
2022-06-28,637.0669555664062,639.48097284931,633.5169131560658,636.1675999329924,9770574,HDFCBANK.NS,1
2022-06-28,2157.066650390625,2162.9767681643098,2120.024458946331,2159.8587890758627,1404108,HINDUNILVR.NS,1
2022-06-28,689.0048828125,695.7950197441837,685.8038301000511,689.7323974837518,8339931,ICICIBANK.NS,1
2022-06-28,1314.368896484375,1321.561651135481,1290.2597541406712,1304.4677073865423,4412178,INFY.NS,1
2022-06-28,224.53765869140625,224.86804009745464,221.81196628155058,222.10106637254168,11673046,ITC.NS,1
2022-06-28,1474.546630859375,1480.2490348459405,1448.5056294509184,1454.1130165741822,2072405,LT.NS,1
2022-06-28,1144.8404541015625,1147.6712157735933,1124.1874785863165,1124.1874785863165,13572847,RELIANCE.NS,1
2022-06-28,431.29888916015625,432.6924235354718,425.4924959296749,426.3286108845583,13261290,SBIN.NS,1
2022-06-28,2928.534912109375,2938.9935790531804,2888.3335356818407,2918.694224002663,1400046,TCS.NS,1
2022-06-29,622.9489135742188,635.1479773424204,620.9074497529566,633.7039943727677,13620084,AXISBANK.NS,2
2022-06-29,636.1439208984375,639.3626491851958,630.1325387583134,630.1325387583134,9994046,HDFCBANK.NS,2
2022-06-29,2078.701171875,2140.5470132378377,2070.8366914580347,2137.103420139715,1682914,HINDUNILVR.NS,2
2022-06-29,681.6812133789062,685.5128022997893,679.9351900949814,683.8152681505,9570557,ICICIBANK.NS,2
